Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;NYC4Classes;0;+LOC, nGrams: 2;Weighted Recall;0.850457;0
Boston;NYC4Classes;0;+LOC, nGrams: 2;Weighted F-Measure;0.842754;0
Boston;NYC4Classes;0;+TIME, nGrams: 2;Percent Correct;0.845616;0
Boston;NYC4Classes;0;+TIME, nGrams: 2;Weighted Precision;0.851608;0
Boston;NYC4Classes;0;+TIME, nGrams: 2;Weighted Recall;0.845616;0
Boston;NYC4Classes;0;+TIME, nGrams: 2;Weighted F-Measure;0.831296;0
Boston;NYC4Classes;0;+LOD, nGrams: 2;Percent Correct;0.837009;0
Boston;NYC4Classes;0;+LOD, nGrams: 2;Weighted Precision;0.833263;0
Boston;NYC4Classes;0;+LOD, nGrams: 2;Weighted Recall;0.837009;0
Boston;NYC4Classes;0;+LOD, nGrams: 2;Weighted F-Measure;0.826363;0
Boston;NYC4Classes;0;+LOC+TIME, nGrams: 2;Percent Correct;0.855836;0
Boston;NYC4Classes;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.852511;0
Boston;NYC4Classes;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.855836;0
Boston;NYC4Classes;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.849581;0
Boston;NYC4Classes;0;+LOC+LOD, nGrams: 2;Percent Correct;0.864981;0
Boston;NYC4Classes;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.866017;0
Boston;NYC4Classes;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.864981;0
Boston;NYC4Classes;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.861456;0
Boston;NYC4Classes;0;+TIME+LOD, nGrams: 2;Percent Correct;0.882733;0
Boston;NYC4Classes;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.882740;0
Boston;NYC4Classes;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.882733;0
Boston;NYC4Classes;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.879646;0
Boston;NYC4Classes;0;+TYPES, nGrams: 2;Percent Correct;0.839699;0
Boston;NYC4Classes;0;+TYPES, nGrams: 2;Weighted Precision;0.843364;0
Boston;NYC4Classes;0;+TYPES, nGrams: 2;Weighted Recall;0.839699;0
Boston;NYC4Classes;0;+TYPES, nGrams: 2;Weighted F-Measure;0.827203;0
Boston;NYC4Classes;0;+CAT, nGrams: 2;Percent Correct;0.840237;0
Boston;NYC4Classes;0;+CAT, nGrams: 2;Weighted Precision;0.836320;0
Boston;NYC4Classes;0;+CAT, nGrams: 2;Weighted Recall;0.840237;0
Boston;NYC4Classes;0;+CAT, nGrams: 2;Weighted F-Measure;0.829281;0
Boston;Dublin;0;Baseline, nGrams: 2;Percent Correct;0.946359;0
Boston;Dublin;0;Baseline, nGrams: 2;Weighted Precision;0.940937;0
Boston;Dublin;0;Baseline, nGrams: 2;Weighted Recall;0.946359;0
Boston;Dublin;0;Baseline, nGrams: 2;Weighted F-Measure;0.942592;0
Boston;Dublin;0;+ALL, nGrams: 2;Percent Correct;0.950622;0
Boston;Dublin;0;+ALL, nGrams: 2;Weighted Precision;0.946148;0
Boston;Dublin;0;+ALL, nGrams: 2;Weighted Recall;0.950622;0
Boston;Dublin;0;+ALL, nGrams: 2;Weighted F-Measure;0.945549;0
Boston;Dublin;0;+LOC, nGrams: 2;Percent Correct;0.939964;0
Boston;Dublin;0;+LOC, nGrams: 2;Weighted Precision;0.944226;0
Boston;Dublin;0;+LOC, nGrams: 2;Weighted Recall;0.939964;0
Boston;Dublin;0;+LOC, nGrams: 2;Weighted F-Measure;0.938935;0
Boston;Dublin;0;+TIME, nGrams: 2;Percent Correct;0.949556;0
Boston;Dublin;0;+TIME, nGrams: 2;Weighted Precision;0.942282;0
Boston;Dublin;0;+TIME, nGrams: 2;Weighted Recall;0.949556;0
Boston;Dublin;0;+TIME, nGrams: 2;Weighted F-Measure;0.944139;0
Boston;Dublin;0;+LOD, nGrams: 2;Percent Correct;0.948490;0
Boston;Dublin;0;+LOD, nGrams: 2;Weighted Precision;0.945787;0
Boston;Dublin;0;+LOD, nGrams: 2;Weighted Recall;0.948490;0
Boston;Dublin;0;+LOD, nGrams: 2;Weighted F-Measure;0.944824;0
Boston;Dublin;0;+LOC+TIME, nGrams: 2;Percent Correct;0.942451;0
Boston;Dublin;0;+LOC+TIME, nGrams: 2;Weighted Precision;0.942087;0
Boston;Dublin;0;+LOC+TIME, nGrams: 2;Weighted Recall;0.942451;0
Boston;Dublin;0;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.940892;0
Boston;Dublin;0;+LOC+LOD, nGrams: 2;Percent Correct;0.943872;0
Boston;Dublin;0;+LOC+LOD, nGrams: 2;Weighted Precision;0.946029;0
Boston;Dublin;0;+LOC+LOD, nGrams: 2;Weighted Recall;0.943872;0
Boston;Dublin;0;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.943098;0
Boston;Dublin;0;+TIME+LOD, nGrams: 2;Percent Correct;0.943872;0
Boston;Dublin;0;+TIME+LOD, nGrams: 2;Weighted Precision;0.943566;0
Boston;Dublin;0;+TIME+LOD, nGrams: 2;Weighted Recall;0.943872;0
Boston;Dublin;0;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.942226;0
Boston;Dublin;0;+TYPES, nGrams: 2;Percent Correct;0.945293;0
Boston;Dublin;0;+TYPES, nGrams: 2;Weighted Precision;0.943867;0
Boston;Dublin;0;+TYPES, nGrams: 2;Weighted Recall;0.945293;0
Boston;Dublin;0;+TYPES, nGrams: 2;Weighted F-Measure;0.943284;0
Boston;Dublin;0;+CAT, nGrams: 2;Percent Correct;0.949201;0
Boston;Dublin;0;+CAT, nGrams: 2;Weighted Precision;0.944377;0
Boston;Dublin;0;+CAT, nGrams: 2;Weighted Recall;0.949201;0
Boston;Dublin;0;+CAT, nGrams: 2;Weighted F-Measure;0.945107;0
Boston;SanFrancisco4Classes;0;Baseline, nGrams: 2;Percent Correct;0.904054;0
Boston;SanFrancisco4Classes;0;Baseline, nGrams: 2;Weighted Precision;0.901651;0
Boston;SanFrancisco4Classes;0;Baseline, nGrams: 2;Weighted Recall;0.904054;0
Boston;SanFrancisco4Classes;0;Baseline, nGrams: 2;Weighted F-Measure;0.899567;0
Boston;SanFrancisco4Classes;0;+ALL, nGrams: 2;Percent Correct;0.891216;0
