Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;Dublin;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.933291;0
Boston;Chicago;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.908625;0
Boston;Chicago;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.904938;0
Boston;Chicago;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.908625;0
Boston;Chicago;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.903461;0
Boston;Memphis;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.806654;0
Boston;Memphis;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.809082;0
Boston;Memphis;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.806654;0
Boston;Memphis;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.797813;0
Boston;London;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.849266;0
Boston;London;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.843842;0
Boston;London;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.849266;0
Boston;London;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.811820;0
Boston;Sydney;NaiveBayes;+LOC+LOD, nGrams: 2;Percent Correct;0.834330;0
Boston;Sydney;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Precision;0.844187;0
Boston;Sydney;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted Recall;0.834330;0
Boston;Sydney;NaiveBayes;+LOC+LOD, nGrams: 2;Weighted F-Measure;0.817481;0
Boston;Brisbane;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.875841;0
Boston;Brisbane;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.883106;0
Boston;Brisbane;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.875841;0
Boston;Brisbane;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted F-Measure;0.861058;0
Boston;Seattle;NaiveBayes;+LOC+TIME, nGrams: 2;Percent Correct;0.798094;0
Boston;Seattle;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Precision;0.797725;0
Boston;Seattle;NaiveBayes;+LOC+TIME, nGrams: 2;Weighted Recall;0.798094;0
